question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,subject,chapter,difficulty
CB7-00800,What is 16 + 19?,34,36,37,35,D,16 + 19 = 35,SST,Equality,Easy
CB7-00801,What is 10 + 1?,10,12,11,13,C,10 + 1 = 11,Science,Weather Climate,Easy
CB7-00802,What is 36 + 30?,67,65,68,66,D,36 + 30 = 66,SST,Environment,Hard
CB7-00803,What is 7 + 23?,29,31,30,32,C,7 + 23 = 30,English,Parts of Speech,Medium
CB7-00804,What is 24 + 26?,51,49,50,52,C,24 + 26 = 50,SST,Media,Easy
CB7-00805,What is 41 + 48?,91,88,90,89,D,41 + 48 = 89,Maths,Comparing Quantities,Medium
CB7-00806,What is 5 + 23?,29,30,28,27,C,5 + 23 = 28,SST,State Government,Medium
CB7-00807,What is 42 + 36?,77,79,78,80,C,42 + 36 = 78,Maths,Algebra,Medium
CB7-00808,What is 17 + 2?,19,21,18,20,A,17 + 2 = 19,Science,Soil,Medium
CB7-00809,What is 35 + 45?,79,82,80,81,C,35 + 45 = 80,Maths,Data Handling,Easy
CB7-00810,What is 34 + 49?,85,83,84,82,B,34 + 49 = 83,SST,Markets,Easy
CB7-00811,What is 26 + 31?,58,59,57,56,C,26 + 31 = 57,Science,Nutrition in Plants,Easy
CB7-00812,What is 37 + 26?,63,65,64,62,A,37 + 26 = 63,Maths,Comparing Quantities,Hard
CB7-00813,What is 11 + 23?,35,36,34,33,C,11 + 23 = 34,English,Synonyms Antonyms,Hard
CB7-00814,What is 45 + 12?,56,58,57,59,C,45 + 12 = 57,English,Tenses,Medium
CB7-00815,What is 27 + 13?,40,39,42,41,A,27 + 13 = 40,SST,Environment,Medium
CB7-00816,What is 27 + 2?,30,29,31,28,B,27 + 2 = 29,SST,Equality,Medium
CB7-00817,What is 21 + 32?,53,55,54,52,A,21 + 32 = 53,Maths,Integers,Medium
CB7-00818,What is 30 + 6?,38,37,35,36,D,30 + 6 = 36,SST,Markets,Medium
CB7-00819,What is 47 + 46?,93,95,92,94,A,47 + 46 = 93,English,Fill in the Blanks,Medium
CB7-00820,What is 30 + 10?,40,39,41,42,A,30 + 10 = 40,Maths,Simple Equations,Easy
CB7-00821,What is 34 + 50?,85,86,84,83,C,34 + 50 = 84,Science,Reproduction in Plants,Hard
CB7-00822,What is 13 + 5?,17,20,18,19,C,13 + 5 = 18,Maths,Perimeter and Area,Hard
CB7-00823,What is 14 + 17?,31,33,32,30,A,14 + 17 = 31,English,Parts of Speech,Hard
CB7-00824,What is 45 + 21?,66,65,67,68,A,45 + 21 = 66,Science,Nutrition in Animals,Medium
CB7-00825,What is 22 + 32?,56,55,54,53,C,22 + 32 = 54,SST,Delhi Sultanate,Easy
CB7-00826,What is 45 + 35?,81,79,82,80,D,45 + 35 = 80,Maths,Data Handling,Medium
CB7-00827,What is 14 + 38?,51,52,54,53,B,14 + 38 = 52,Maths,Rational Numbers,Easy
CB7-00828,What is 18 + 16?,34,35,36,33,A,18 + 16 = 34,Maths,Integers,Hard
CB7-00829,What is 1 + 20?,22,21,23,20,B,1 + 20 = 21,English,Grammar,Hard
CB7-00830,What is 3 + 21?,25,26,23,24,D,3 + 21 = 24,Maths,Rational Numbers,Medium
CB7-00831,What is 40 + 9?,51,50,48,49,D,40 + 9 = 49,SST,Mughal Empire,Hard
CB7-00832,What is 5 + 30?,37,35,34,36,B,5 + 30 = 35,SST,Markets,Medium
CB7-00833,What is 20 + 5?,24,27,26,25,D,20 + 5 = 25,English,Grammar,Medium
CB7-00834,What is 47 + 9?,58,57,55,56,D,47 + 9 = 56,Science,Weather Climate,Easy
CB7-00835,What is 50 + 48?,98,100,99,97,A,50 + 48 = 98,English,Synonyms Antonyms,Easy
CB7-00836,What is 33 + 37?,69,70,71,72,B,33 + 37 = 70,Maths,Integers,Easy
CB7-00837,What is 38 + 38?,75,78,76,77,C,38 + 38 = 76,English,Comprehension,Hard
CB7-00838,What is 25 + 43?,69,70,68,67,C,25 + 43 = 68,Maths,Fractions and Decimals,Easy
CB7-00839,What is 10 + 24?,35,34,36,33,B,10 + 24 = 34,Science,Motion and Time,Medium
CB7-00840,What is 34 + 4?,38,37,39,40,A,34 + 4 = 38,Science,Soil,Easy
CB7-00841,What is 16 + 34?,49,50,52,51,B,16 + 34 = 50,Maths,Perimeter and Area,Medium
CB7-00842,What is 8 + 40?,49,50,47,48,D,8 + 40 = 48,Science,Heat,Easy
CB7-00843,What is 5 + 12?,19,17,18,16,B,5 + 12 = 17,English,Sentence Correction,Hard
CB7-00844,What is 24 + 50?,74,76,73,75,A,24 + 50 = 74,SST,Environment,Hard
CB7-00845,What is 28 + 50?,80,79,77,78,D,28 + 50 = 78,Science,Soil,Medium
CB7-00846,What is 20 + 25?,44,45,47,46,B,20 + 25 = 45,Science,Reproduction in Plants,Medium
CB7-00847,What is 43 + 22?,66,65,64,67,B,43 + 22 = 65,Maths,Lines and Angles,Hard
CB7-00848,What is 38 + 33?,72,70,73,71,D,38 + 33 = 71,SST,State Government,Easy
CB7-00849,What is 50 + 48?,100,98,97,99,B,50 + 48 = 98,SST,Delhi Sultanate,Hard
CB7-00850,What is 5 + 39?,43,46,45,44,D,5 + 39 = 44,English,Vocabulary,Easy
CB7-00851,What is 18 + 29?,46,49,47,48,C,18 + 29 = 47,Science,Acids Bases and Salts,Medium
CB7-00852,What is 45 + 31?,77,78,75,76,D,45 + 31 = 76,Maths,Comparing Quantities,Hard
CB7-00853,What is 4 + 38?,44,42,41,43,B,4 + 38 = 42,Maths,Lines and Angles,Hard
CB7-00854,What is 26 + 16?,41,44,42,43,C,26 + 16 = 42,Maths,Data Handling,Easy
CB7-00855,What is 28 + 47?,74,77,75,76,C,28 + 47 = 75,English,Sentence Correction,Hard
CB7-00856,What is 50 + 11?,62,61,63,60,B,50 + 11 = 61,Science,Motion and Time,Easy
CB7-00857,What is 26 + 3?,30,28,31,29,D,26 + 3 = 29,Maths,Rational Numbers,Hard
CB7-00858,What is 8 + 39?,48,47,46,49,B,8 + 39 = 47,SST,Government,Medium
CB7-00859,What is 38 + 36?,76,73,75,74,D,38 + 36 = 74,English,Comprehension,Medium
CB7-00860,What is 2 + 16?,18,17,20,19,A,2 + 16 = 18,SST,Government,Easy
CB7-00861,What is 49 + 17?,65,67,68,66,D,49 + 17 = 66,English,Comprehension,Hard
CB7-00862,What is 21 + 50?,73,71,72,70,B,21 + 50 = 71,Maths,Simple Equations,Easy
CB7-00863,What is 16 + 42?,59,57,60,58,D,16 + 42 = 58,Science,Acids Bases and Salts,Medium
CB7-00864,What is 14 + 28?,42,41,43,44,A,14 + 28 = 42,English,Grammar,Medium
CB7-00865,What is 2 + 35?,37,36,39,38,A,2 + 35 = 37,Maths,Algebra,Medium
CB7-00866,What is 15 + 18?,32,34,35,33,D,15 + 18 = 33,SST,Media,Easy
CB7-00867,What is 17 + 49?,66,68,65,67,A,17 + 49 = 66,Maths,Comparing Quantities,Hard
CB7-00868,What is 31 + 45?,77,76,78,75,B,31 + 45 = 76,Science,Acids Bases and Salts,Medium
CB7-00869,What is 39 + 13?,54,52,51,53,B,39 + 13 = 52,English,Comprehension,Easy
CB7-00870,What is 10 + 18?,29,28,27,30,B,10 + 18 = 28,Science,Weather Climate,Easy
CB7-00871,What is 5 + 26?,32,31,33,30,B,5 + 26 = 31,English,Grammar,Medium
CB7-00872,What is 3 + 46?,49,48,51,50,A,3 + 46 = 49,SST,Mughal Empire,Hard
CB7-00873,What is 34 + 44?,77,79,80,78,D,34 + 44 = 78,SST,Inside our Earth,Hard
CB7-00874,What is 37 + 50?,86,88,89,87,D,37 + 50 = 87,SST,Media,Hard
CB7-00875,What is 30 + 1?,33,32,30,31,D,30 + 1 = 31,Science,Transportation in Plants and Animals,Hard
CB7-00876,What is 45 + 10?,57,55,56,54,B,45 + 10 = 55,SST,Medieval India,Hard
CB7-00877,What is 16 + 34?,49,52,51,50,D,16 + 34 = 50,Maths,Algebra,Easy
CB7-00878,What is 49 + 4?,52,53,54,55,B,49 + 4 = 53,SST,Media,Medium
CB7-00879,What is 15 + 11?,26,25,27,28,A,15 + 11 = 26,English,Comprehension,Hard
CB7-00880,What is 26 + 40?,67,68,65,66,D,26 + 40 = 66,English,Fill in the Blanks,Hard
CB7-00881,What is 35 + 22?,56,59,58,57,D,35 + 22 = 57,SST,Environment,Hard
CB7-00882,What is 37 + 7?,43,46,44,45,C,37 + 7 = 44,Maths,Integers,Easy
CB7-00883,What is 21 + 15?,36,38,37,35,A,21 + 15 = 36,Science,Transportation in Plants and Animals,Easy
CB7-00884,What is 10 + 20?,29,32,31,30,D,10 + 20 = 30,Science,Heat,Hard
CB7-00885,What is 44 + 24?,68,69,70,67,A,44 + 24 = 68,Science,Reproduction in Plants,Easy
CB7-00886,What is 49 + 36?,86,87,84,85,D,49 + 36 = 85,Maths,Rational Numbers,Hard
CB7-00887,What is 31 + 25?,55,56,57,58,B,31 + 25 = 56,Science,Transportation in Plants and Animals,Medium
CB7-00888,What is 26 + 18?,46,43,44,45,C,26 + 18 = 44,Science,Fibre to Fabric,Medium
CB7-00889,What is 25 + 33?,58,59,57,60,A,25 + 33 = 58,English,Tenses,Easy
CB7-00890,What is 49 + 20?,70,71,68,69,D,49 + 20 = 69,Science,Soil,Easy
CB7-00891,What is 41 + 16?,56,58,57,59,C,41 + 16 = 57,Maths,Perimeter and Area,Easy
CB7-00892,What is 43 + 22?,67,66,64,65,D,43 + 22 = 65,English,Comprehension,Hard
CB7-00893,What is 45 + 45?,89,91,90,92,C,45 + 45 = 90,SST,Government,Hard
CB7-00894,What is 37 + 2?,41,40,39,38,C,37 + 2 = 39,Science,Physical and Chemical Changes,Medium
CB7-00895,What is 18 + 42?,60,61,62,59,A,18 + 42 = 60,Maths,Fractions and Decimals,Hard
CB7-00896,What is 43 + 44?,89,86,87,88,C,43 + 44 = 87,Science,Acids Bases and Salts,Hard
CB7-00897,What is 44 + 15?,58,61,60,59,D,44 + 15 = 59,Science,Respiration,Medium
CB7-00898,What is 13 + 7?,21,22,20,19,C,13 + 7 = 20,Maths,Rational Numbers,Hard
CB7-00899,What is 4 + 22?,26,25,28,27,A,4 + 22 = 26,English,Comprehension,Easy
CB7-00900,What is 20 + 7?,29,27,26,28,B,20 + 7 = 27,English,Comprehension,Hard
CB7-00901,What is 27 + 38?,67,64,66,65,D,27 + 38 = 65,SST,Medieval India,Hard
CB7-00902,What is 27 + 42?,68,70,71,69,D,27 + 42 = 69,Science,Reproduction in Plants,Hard
CB7-00903,What is 11 + 20?,33,30,31,32,C,11 + 20 = 31,Maths,Fractions and Decimals,Easy
CB7-00904,What is 19 + 10?,30,31,28,29,D,19 + 10 = 29,SST,Medieval India,Hard
CB7-00905,What is 2 + 45?,46,47,49,48,B,2 + 45 = 47,Maths,Comparing Quantities,Hard
CB7-00906,What is 39 + 37?,75,78,76,77,C,39 + 37 = 76,Science,Nutrition in Plants,Medium
CB7-00907,What is 6 + 48?,53,54,56,55,B,6 + 48 = 54,SST,Government,Hard
CB7-00908,What is 2 + 35?,38,37,36,39,B,2 + 35 = 37,SST,Equality,Hard
CB7-00909,What is 47 + 39?,87,85,88,86,D,47 + 39 = 86,Maths,Integers,Hard
CB7-00910,What is 27 + 44?,72,70,71,73,C,27 + 44 = 71,SST,Equality,Hard
CB7-00911,What is 9 + 6?,15,16,14,17,A,9 + 6 = 15,English,Grammar,Easy
CB7-00912,What is 7 + 21?,27,29,30,28,D,7 + 21 = 28,English,Vocabulary,Easy
CB7-00913,What is 17 + 12?,29,31,30,28,A,17 + 12 = 29,Maths,Data Handling,Hard
CB7-00914,What is 19 + 14?,32,35,33,34,C,19 + 14 = 33,SST,Equality,Hard
CB7-00915,What is 26 + 35?,62,63,60,61,D,26 + 35 = 61,Maths,Comparing Quantities,Easy
CB7-00916,What is 48 + 24?,71,73,72,74,C,48 + 24 = 72,SST,Medieval India,Hard
CB7-00917,What is 7 + 39?,47,45,48,46,D,7 + 39 = 46,Science,Light,Easy
CB7-00918,What is 30 + 44?,75,76,73,74,D,30 + 44 = 74,English,Grammar,Medium
CB7-00919,What is 3 + 38?,42,40,41,43,C,3 + 38 = 41,Maths,Algebra,Medium
CB7-00920,What is 21 + 19?,42,39,41,40,D,21 + 19 = 40,Science,Transportation in Plants and Animals,Easy
CB7-00921,What is 7 + 21?,28,29,30,27,A,7 + 21 = 28,SST,Media,Medium
CB7-00922,What is 2 + 4?,5,7,8,6,D,2 + 4 = 6,English,Vocabulary,Medium
CB7-00923,What is 24 + 18?,41,42,44,43,B,24 + 18 = 42,Maths,Rational Numbers,Medium
CB7-00924,What is 5 + 20?,24,27,26,25,D,5 + 20 = 25,SST,Air and Water,Medium
CB7-00925,What is 42 + 32?,75,73,74,76,C,42 + 32 = 74,English,Synonyms Antonyms,Medium
CB7-00926,What is 7 + 40?,48,46,47,49,C,7 + 40 = 47,SST,Media,Medium
CB7-00927,What is 4 + 37?,41,42,43,40,A,4 + 37 = 41,Maths,Algebra,Easy
CB7-00928,What is 37 + 11?,50,48,47,49,B,37 + 11 = 48,SST,Markets,Medium
CB7-00929,What is 19 + 47?,67,66,65,68,B,19 + 47 = 66,English,Vocabulary,Medium
CB7-00930,What is 23 + 22?,47,46,44,45,D,23 + 22 = 45,Science,Respiration,Medium
CB7-00931,What is 10 + 1?,10,13,11,12,C,10 + 1 = 11,Maths,Simple Equations,Easy
CB7-00932,What is 22 + 19?,42,43,40,41,D,22 + 19 = 41,SST,Air and Water,Medium
CB7-00933,What is 25 + 11?,36,37,35,38,A,25 + 11 = 36,Science,Nutrition in Animals,Easy
CB7-00934,What is 5 + 8?,12,15,14,13,D,5 + 8 = 13,Maths,Integers,Medium
CB7-00935,What is 16 + 12?,28,30,29,27,A,16 + 12 = 28,SST,Media,Hard
CB7-00936,What is 46 + 37?,84,82,83,85,C,46 + 37 = 83,English,Tenses,Easy
CB7-00937,What is 47 + 50?,99,97,98,96,B,47 + 50 = 97,English,Vocabulary,Easy
CB7-00938,What is 44 + 8?,54,51,53,52,D,44 + 8 = 52,Maths,Perimeter and Area,Hard
CB7-00939,What is 14 + 35?,48,49,51,50,B,14 + 35 = 49,English,Sentence Correction,Medium
CB7-00940,What is 38 + 8?,47,45,46,48,C,38 + 8 = 46,SST,State Government,Hard
CB7-00941,What is 50 + 41?,92,91,93,90,B,50 + 41 = 91,Science,Respiration,Easy
CB7-00942,What is 39 + 26?,66,64,67,65,D,39 + 26 = 65,Maths,Algebra,Hard
CB7-00943,What is 31 + 14?,45,44,46,47,A,31 + 14 = 45,SST,Media,Medium
CB7-00944,What is 44 + 18?,63,61,62,64,C,44 + 18 = 62,Maths,Algebra,Hard
CB7-00945,What is 24 + 48?,73,74,71,72,D,24 + 48 = 72,English,Grammar,Hard
CB7-00946,What is 24 + 29?,55,53,52,54,B,24 + 29 = 53,Science,Reproduction in Plants,Hard
CB7-00947,What is 43 + 33?,78,75,77,76,D,43 + 33 = 76,SST,Delhi Sultanate,Medium
CB7-00948,What is 31 + 47?,79,78,80,77,B,31 + 47 = 78,Maths,Fractions and Decimals,Medium
CB7-00949,What is 49 + 36?,86,84,87,85,D,49 + 36 = 85,Maths,Simple Equations,Easy
CB7-00950,What is 36 + 28?,66,64,65,63,B,36 + 28 = 64,English,Synonyms Antonyms,Hard
CB7-00951,What is 38 + 23?,63,60,61,62,C,38 + 23 = 61,SST,Medieval India,Medium
CB7-00952,What is 25 + 12?,37,38,36,39,A,25 + 12 = 37,SST,Mughal Empire,Easy
CB7-00953,What is 22 + 19?,42,43,41,40,C,22 + 19 = 41,English,Sentence Correction,Medium
CB7-00954,What is 37 + 4?,42,41,43,40,B,37 + 4 = 41,English,Grammar,Medium
CB7-00955,What is 19 + 1?,20,21,22,19,A,19 + 1 = 20,English,Sentence Correction,Easy
CB7-00956,What is 21 + 36?,59,57,58,56,B,21 + 36 = 57,English,Synonyms Antonyms,Hard
CB7-00957,What is 30 + 37?,66,68,69,67,D,30 + 37 = 67,SST,State Government,Hard
CB7-00958,What is 24 + 41?,67,64,65,66,C,24 + 41 = 65,English,Parts of Speech,Medium
CB7-00959,What is 34 + 40?,76,75,73,74,D,34 + 40 = 74,SST,Government,Hard
CB7-00960,What is 10 + 11?,22,23,20,21,D,10 + 11 = 21,Science,Nutrition in Animals,Medium
CB7-00961,What is 8 + 45?,53,55,54,52,A,8 + 45 = 53,English,Fill in the Blanks,Hard
CB7-00962,What is 49 + 28?,79,76,78,77,D,49 + 28 = 77,English,Sentence Correction,Hard
CB7-00963,What is 35 + 30?,64,65,67,66,B,35 + 30 = 65,SST,Equality,Hard
CB7-00964,What is 3 + 37?,42,41,40,39,C,3 + 37 = 40,Science,Light,Easy
CB7-00965,What is 43 + 29?,73,72,71,74,B,43 + 29 = 72,Science,Heat,Hard
CB7-00966,What is 9 + 46?,54,55,56,57,B,9 + 46 = 55,SST,Government,Medium
CB7-00967,What is 24 + 20?,46,44,45,43,B,24 + 20 = 44,Science,Physical and Chemical Changes,Hard
CB7-00968,What is 5 + 48?,53,55,54,52,A,5 + 48 = 53,Science,Nutrition in Animals,Hard
CB7-00969,What is 24 + 50?,75,74,76,73,B,24 + 50 = 74,Science,Motion and Time,Hard
CB7-00970,What is 6 + 44?,50,49,52,51,A,6 + 44 = 50,English,Fill in the Blanks,Medium
CB7-00971,What is 1 + 6?,8,6,9,7,D,1 + 6 = 7,SST,Inside our Earth,Medium
CB7-00972,What is 39 + 14?,55,54,53,52,C,39 + 14 = 53,Maths,Algebra,Hard
CB7-00973,What is 18 + 22?,40,41,42,39,A,18 + 22 = 40,Science,Respiration,Easy
CB7-00974,What is 50 + 40?,89,92,91,90,D,50 + 40 = 90,English,Synonyms Antonyms,Hard
CB7-00975,What is 39 + 25?,64,63,65,66,A,39 + 25 = 64,English,Tenses,Easy
CB7-00976,What is 49 + 28?,76,78,77,79,C,49 + 28 = 77,Maths,Triangle and Properties,Easy
CB7-00977,What is 29 + 26?,57,55,54,56,B,29 + 26 = 55,English,Grammar,Easy
CB7-00978,What is 36 + 19?,57,56,54,55,D,36 + 19 = 55,English,Synonyms Antonyms,Medium
CB7-00979,What is 34 + 34?,69,68,67,70,B,34 + 34 = 68,Science,Nutrition in Animals,Medium
CB7-00980,What is 45 + 9?,54,56,55,53,A,45 + 9 = 54,Maths,Perimeter and Area,Easy
CB7-00981,What is 4 + 11?,14,16,15,17,C,4 + 11 = 15,English,Vocabulary,Medium
CB7-00982,What is 31 + 14?,47,46,44,45,D,31 + 14 = 45,Maths,Lines and Angles,Medium
CB7-00983,What is 17 + 47?,66,64,63,65,B,17 + 47 = 64,SST,State Government,Medium
CB7-00984,What is 34 + 39?,75,72,74,73,D,34 + 39 = 73,English,Parts of Speech,Hard
CB7-00985,What is 15 + 29?,46,45,43,44,D,15 + 29 = 44,SST,Government,Medium
CB7-00986,What is 29 + 7?,35,38,36,37,C,29 + 7 = 36,Maths,Triangle and Properties,Medium
CB7-00987,What is 22 + 10?,31,32,34,33,B,22 + 10 = 32,Science,Electric Current,Medium
CB7-00988,What is 30 + 11?,43,40,42,41,D,30 + 11 = 41,Science,Transportation in Plants and Animals,Easy
CB7-00989,What is 25 + 32?,59,57,56,58,B,25 + 32 = 57,Maths,Rational Numbers,Easy
CB7-00990,What is 40 + 47?,87,88,86,89,A,40 + 47 = 87,Maths,Triangle and Properties,Hard
CB7-00991,What is 25 + 39?,66,65,63,64,D,25 + 39 = 64,English,Parts of Speech,Easy
CB7-00992,What is 11 + 16?,29,26,28,27,D,11 + 16 = 27,Maths,Comparing Quantities,Hard
CB7-00993,What is 23 + 1?,24,25,23,26,A,23 + 1 = 24,Science,Motion and Time,Easy
CB7-00994,What is 26 + 14?,40,39,42,41,A,26 + 14 = 40,Science,Light,Medium
CB7-00995,What is 48 + 8?,56,55,57,58,A,48 + 8 = 56,English,Comprehension,Hard
CB7-00996,What is 44 + 39?,83,85,84,82,A,44 + 39 = 83,English,Fill in the Blanks,Easy
CB7-00997,What is 1 + 20?,23,21,22,20,B,1 + 20 = 21,Maths,Triangle and Properties,Medium
CB7-00998,What is 31 + 49?,79,81,80,82,C,31 + 49 = 80,Science,Weather Climate,Medium
CB7-00999,What is 47 + 25?,74,71,73,72,D,47 + 25 = 72,English,Vocabulary,Medium
CB7-01000,What is 10 + 13?,24,25,23,22,C,10 + 13 = 23,Maths,Comparing Quantities,Medium
CB7-01001,What is 33 + 22?,55,54,57,56,A,33 + 22 = 55,English,Fill in the Blanks,Medium
CB7-01002,What is 18 + 19?,37,38,39,36,A,18 + 19 = 37,Maths,Algebra,Medium
CB7-01003,What is 23 + 28?,50,51,52,53,B,23 + 28 = 51,SST,Media,Medium
CB7-01004,What is 29 + 48?,79,78,76,77,D,29 + 48 = 77,SST,Environment,Hard
CB7-01005,What is 7 + 3?,12,9,11,10,D,7 + 3 = 10,Science,Nutrition in Animals,Hard
CB7-01006,What is 24 + 44?,69,68,70,67,B,24 + 44 = 68,Science,Soil,Hard
CB7-01007,What is 44 + 39?,85,82,83,84,C,44 + 39 = 83,Science,Light,Easy
CB7-01008,What is 6 + 20?,28,26,25,27,B,6 + 20 = 26,English,Sentence Correction,Hard
CB7-01009,What is 9 + 9?,18,20,17,19,A,9 + 9 = 18,Science,Fibre to Fabric,Hard
CB7-01010,What is 45 + 49?,96,95,94,93,C,45 + 49 = 94,English,Parts of Speech,Easy
CB7-01011,What is 47 + 6?,55,52,53,54,C,47 + 6 = 53,Science,Electric Current,Hard
CB7-01012,What is 34 + 36?,72,70,69,71,B,34 + 36 = 70,SST,Government,Easy
CB7-01013,What is 34 + 34?,68,67,69,70,A,34 + 34 = 68,Science,Reproduction in Plants,Hard
CB7-01014,What is 41 + 18?,61,60,59,58,C,41 + 18 = 59,Science,Weather Climate,Easy
CB7-01015,What is 3 + 47?,52,49,51,50,D,3 + 47 = 50,Maths,Triangle and Properties,Hard
CB7-01016,What is 49 + 38?,86,88,89,87,D,49 + 38 = 87,Maths,Lines and Angles,Hard
CB7-01017,What is 34 + 31?,67,65,66,64,B,34 + 31 = 65,English,Synonyms Antonyms,Hard
CB7-01018,What is 48 + 10?,60,59,57,58,D,48 + 10 = 58,English,Synonyms Antonyms,Easy
CB7-01019,What is 10 + 25?,37,35,36,34,B,10 + 25 = 35,English,Sentence Correction,Hard
CB7-01020,What is 39 + 36?,74,77,76,75,D,39 + 36 = 75,Science,Fibre to Fabric,Medium
CB7-01021,What is 15 + 37?,52,53,54,51,A,15 + 37 = 52,Science,Transportation in Plants and Animals,Easy
CB7-01022,What is 19 + 37?,56,58,57,55,A,19 + 37 = 56,Science,Physical and Chemical Changes,Easy
CB7-01023,What is 30 + 29?,61,60,58,59,D,30 + 29 = 59,Maths,Integers,Hard
CB7-01024,What is 27 + 41?,70,67,69,68,D,27 + 41 = 68,SST,Medieval India,Medium
CB7-01025,What is 21 + 45?,67,68,65,66,D,21 + 45 = 66,English,Grammar,Hard
CB7-01026,What is 43 + 46?,91,89,88,90,B,43 + 46 = 89,Maths,Rational Numbers,Hard
CB7-01027,What is 32 + 45?,77,78,76,79,A,32 + 45 = 77,Science,Electric Current,Medium
CB7-01028,What is 21 + 33?,55,56,54,53,C,21 + 33 = 54,English,Vocabulary,Easy
CB7-01029,What is 5 + 4?,10,11,8,9,D,5 + 4 = 9,English,Tenses,Medium
CB7-01030,What is 6 + 7?,12,14,13,15,C,6 + 7 = 13,Science,Respiration,Easy
CB7-01031,What is 1 + 46?,47,49,48,46,A,1 + 46 = 47,English,Sentence Correction,Easy
CB7-01032,What is 17 + 21?,39,40,38,37,C,17 + 21 = 38,Science,Physical and Chemical Changes,Medium
CB7-01033,What is 13 + 6?,21,19,18,20,B,13 + 6 = 19,Science,Respiration,Hard
CB7-01034,What is 38 + 36?,73,74,75,76,B,38 + 36 = 74,Science,Weather Climate,Easy
CB7-01035,What is 5 + 34?,40,39,41,38,B,5 + 34 = 39,Maths,Rational Numbers,Easy
CB7-01036,What is 26 + 33?,59,60,61,58,A,26 + 33 = 59,Maths,Comparing Quantities,Easy
CB7-01037,What is 20 + 1?,22,23,21,20,C,20 + 1 = 21,English,Parts of Speech,Medium
CB7-01038,What is 12 + 23?,34,37,35,36,C,12 + 23 = 35,SST,Delhi Sultanate,Medium
CB7-01039,What is 37 + 6?,42,44,45,43,D,37 + 6 = 43,English,Parts of Speech,Hard
CB7-01040,What is 22 + 46?,70,69,68,67,C,22 + 46 = 68,Science,Transportation in Plants and Animals,Easy
CB7-01041,What is 46 + 47?,95,94,92,93,D,46 + 47 = 93,English,Tenses,Easy
CB7-01042,What is 16 + 22?,38,37,40,39,A,16 + 22 = 38,Science,Heat,Hard
CB7-01043,What is 46 + 38?,84,83,86,85,A,46 + 38 = 84,Science,Light,Medium
CB7-01044,What is 16 + 30?,47,48,45,46,D,16 + 30 = 46,Science,Heat,Easy
CB7-01045,What is 10 + 36?,46,48,47,45,A,10 + 36 = 46,SST,State Government,Medium
CB7-01046,What is 43 + 8?,52,53,50,51,D,43 + 8 = 51,Science,Reproduction in Plants,Hard
CB7-01047,What is 13 + 29?,44,41,42,43,C,13 + 29 = 42,English,Synonyms Antonyms,Medium
CB7-01048,What is 47 + 29?,75,76,78,77,B,47 + 29 = 76,SST,Mughal Empire,Medium
CB7-01049,What is 8 + 46?,56,55,54,53,C,8 + 46 = 54,Maths,Fractions and Decimals,Hard
CB7-01050,What is 24 + 45?,69,70,71,68,A,24 + 45 = 69,Maths,Lines and Angles,Medium
CB7-01051,What is 45 + 14?,61,60,59,58,C,45 + 14 = 59,Science,Soil,Medium
CB7-01052,What is 22 + 48?,72,70,71,69,B,22 + 48 = 70,SST,State Government,Hard
CB7-01053,What is 14 + 2?,18,16,17,15,B,14 + 2 = 16,Maths,Simple Equations,Medium
CB7-01054,What is 13 + 47?,62,61,60,59,C,13 + 47 = 60,Maths,Comparing Quantities,Easy
CB7-01055,What is 9 + 2?,11,12,10,13,A,9 + 2 = 11,Science,Soil,Easy
CB7-01056,What is 47 + 19?,65,66,68,67,B,47 + 19 = 66,SST,Markets,Easy
CB7-01057,What is 21 + 20?,40,43,42,41,D,21 + 20 = 41,Maths,Triangle and Properties,Medium
CB7-01058,What is 41 + 41?,81,83,82,84,C,41 + 41 = 82,Science,Physical and Chemical Changes,Hard
CB7-01059,What is 3 + 28?,31,30,32,33,A,3 + 28 = 31,English,Grammar,Hard
CB7-01060,What is 7 + 41?,47,49,48,50,C,7 + 41 = 48,Maths,Fractions and Decimals,Easy
CB7-01061,What is 33 + 47?,79,80,82,81,B,33 + 47 = 80,SST,Equality,Medium
CB7-01062,What is 24 + 6?,32,31,29,30,D,24 + 6 = 30,SST,Markets,Easy
CB7-01063,What is 46 + 3?,49,51,50,48,A,46 + 3 = 49,SST,Inside our Earth,Easy
CB7-01064,What is 11 + 41?,51,52,53,54,B,11 + 41 = 52,Science,Weather Climate,Easy
CB7-01065,What is 12 + 18?,30,32,31,29,A,12 + 18 = 30,English,Vocabulary,Hard
CB7-01066,What is 36 + 28?,65,64,63,66,B,36 + 28 = 64,Science,Heat,Easy
CB7-01067,What is 12 + 15?,26,28,29,27,D,12 + 15 = 27,English,Sentence Correction,Easy
CB7-01068,What is 23 + 38?,60,61,63,62,B,23 + 38 = 61,Maths,Rational Numbers,Hard
CB7-01069,What is 48 + 11?,61,59,58,60,B,48 + 11 = 59,SST,Inside our Earth,Hard
CB7-01070,What is 6 + 39?,46,44,45,47,C,6 + 39 = 45,Science,Physical and Chemical Changes,Medium
CB7-01071,What is 3 + 46?,51,48,49,50,C,3 + 46 = 49,SST,Medieval India,Hard
CB7-01072,What is 37 + 14?,50,52,51,53,C,37 + 14 = 51,Maths,Data Handling,Medium
